"把手","这个门的把手坏了好几天了","你把手抬高一点儿"
"本书","本书讨论的问题是一个老生常谈的问题","那本书写得非常精彩"
"并排","这条马路可以并排行驶四辆大卡车","教务科指定了专任讲师并排好了课程时间表"
"病痛","人身上哪怕有一点小病痛，都会影响到工作学习","这种病痛起来真要人命"
"病因","这种病的病因到目前为止医学界都不清楚","她的病因我而起，就由我来解决吧"
"不大","他平时不大抽烟，想不到也得了肺癌","他年纪不大鬼点子却不少"
"不过","本来他是想去赴宴的，不过这两天胃口不好，就只得做罢了","这次考试要还是不过，我就自杀"
"不要","在公众场合不要发出这种声音","我不要回我的东西誓不罢休"
"才能","没有出众的才能就无法在竞争中站稳脚跟","掌握新技术才能立于不败之地"
"炒菜","他进馆子就要了两个炒菜一瓶二锅头","小王炒菜的手艺不错"
"穿着","我一看他的穿着打扮就知道他不是等闲之辈","她今天是穿着一身礼服出去的"
"词组","要练好地道的英语口语，必须熟练掌握一些常用词组的用法","使用语言的过程基本上就是选词组句的过程"
"打包","我们的行李都已经打包了，很难找到那份文件","我有一打包好的丝袜"
"打手","这个大款养了一群打手替他开路","小明妈妈打小明的时候不仅打手还打屁股"
"大路","你顺着这条大路一直往前走就到了","长这么大路都不会走的孩子我还是第一回见到"
"大人","这位大人不愿受理这个案子","想不到这里地方不大人却这么多"
"大雪","明天是二十四节气里的大雪","一场大雪过后，满世界都银装素裹，漂亮极了。"
"到家","他的功夫做得非常到家，所以能够骗过大多数人的眼睛","他昨晚到家的时候屋里没有外人"
"地道","他的汉语说得相当地道","小张一脸不满地道，“不去就不去”"
"东西","现在商场里的东西都特别贵","北大东西校门都有门卫24小时值勤"
"对比","你们可以对比一下这些布料的选色和构图","他只对比他强的选手有兴趣"
"对头","到他发现有什么不对头的时候都已经晚了。","试验证明电磁辐射对头和身子都有危害"
"多元","在这个多元文化的时代，每个人都可以自由地发表意见","他丢了三百多元，正在那儿着急呢"
"分成","如果营业额超过预定指标，每位销售人员都可以参加公司的年终分成","汉语的词语可以分成18个类"
"个人","你们之间的个人恩怨我管不了","我见到这个人的时候天色已经很晚"
"跟头","他昨天一连摔了两个跟头，都摔得不轻","那位老大爷的脚跟头都摔破了"
"鬼才","这位是有“文坛鬼才”之称的魏先生","鬼才相信他说的话呢"
"过奖","您过奖了，我做的只是我应该做的事情","他参加过奥林匹克数学竞赛，还得过奖呢"
"过人","因为她确实有过人之处，我们老总才决定让她全盘负责这个计划","他带球过人时严重犯规"
"好不","大街上好不热闹，都挤成人山人海了。","我们说好不吵架的，可没过两天又吵上了。"
"好多","今天我买了好多东西，全是用来送人的礼物","他现在经济条件好多了，一家人过得开开心心的。"
"好些","在那次大火中有好些人都失去了自己的亲人","经过一段时间的修养她已经好些了"
"好在","好在有你在场，不然我就麻烦大了","张三好在外面打麻将，常常通宵不回家"
"红十字会","在这次救灾活动中，我市红十字会起到了关键性的作用","我们相信红十字会给你带来好运气"
"后患","我们一定要根绝后患，为百姓造福","她生完小孩后患了不治之症"
"后任","张局长的后任来局里上班不到两天就出了大事","她退休后任我们厂的副厂长"
"后天","你们后天再来吧","到家后天就黑了"
"花白","他的头发全都花白了","这种花白颜色的比黄颜色的要贵好多"
"回去","你回去后一定要给我一个电话","这回去美国是去谈一个新的项目"
"回信","我一直没有收到他所说的那封回信","这回信里又说了些啥"
"会考","今年的会考试题非常难","孩子答应妈妈一定会考出好成绩"
"会战","此次台儿庄会战我军大获全胜","我也不知道最后是会战还是会和"
